Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,9,5,35,7,420,134,716,0,1358,1
1,4,1,12,15.5,89,134,2689,0,0,1
1,4,1,10,10.8,61,134,62,0,0,1
1,9,5,35,7,420,134,716,0,1382,1
1,4,1,10,8.1,84,134,62,0,0,1
0,4,2,11,95.6,183,69,18,0,0,1
1,3,3,28,0.4,420,134,330,0,0,1
1,4,1,10,32.8,73,134,392,0,0,1
1,11,3,33,32.1,321,134,2354,0,0,1
0,4,2,12,9.9,58,69,18,0,547,1
0,4,2,12,1.1,183,69,18,0,61,1
1,1,1,7,6.6,0,420,134,216,0,1
1,4,2,11,11.6,0,183,69,181,0,1
1,12,4,44,1.1,321,134,334,0,0,1
0,4,2,12,10.8,183,69,18,0,61,1
1,10,2,24,4.4,109,88,144,0,0,1
0,14,11,1266,1.5,7724,535,136113,3829,16146,1
1,4,2,12,10.1,183,69,18,0,61,1
1,4,2,12,6.7,183,69,18,0,61,1
0,13,4,427,1.7,321,134,2382,0,1625,1
1,4,1,10,5.5,74,134,62,0,0,1
1,4,1,10,7.3,71,134,368,0,0,1
1,4,1,10,12.4,73,134,116,0,0,1
1,1,1,7,3.8,0,157,134,216,0,1
1,4,1,10,12.4,61,134,18,0,0,1
1,12,4,44,4.4,321,134,1114,0,0,1
1,10,2,26,11.8,56,88,18,0,17,1
0,4,2,11,18.4,183,69,2348,0,0,1
1,9,5,30,13.9,0,321,134,1038,0,1
1,2,2,29,8.2,420,134,64,0,0,1
1,4,2,12,17,183,69,18,0,61,1
0,1,1,6,3.8,420,134,0,0,0,1
1,14,4,35,2.3,183,88,4850,0,0,1
0,4,2,12,1.1,183,69,18,0,61,1
1,4,2,12,7.9,183,69,18,0,61,1
0,3,3,36,7.1,420,134,330,0,0,1
0,10,2,26,3.1,51,88,489,0,0,1
1,4,1,10,15.4,87,134,146,0,0,1
0,3,3,41,5.7,420,134,890,0,0,1
1,3,3,30,6.3,321,153,0,0,0,1
1,4,2,11,13.2,81,69,3200,0,0,1
0,4,2,16,9,183,69,18,0,559,1
0,4,2,12,3.1,183,69,18,0,62,1
1,4,2,11,16.6,0,183,69,181,0,1
1,4,1,10,8.1,86,134,62,0,0,1
1,5,3,17,19.3,420,134,1250,0,0,1
1,1,1,19,17.2,252,153,77,0,0,1
1,4,2,11,10.4,69,69,18,0,0,1
0,4,2,12,10.9,183,69,18,0,61,1
1,1,1,6,7.9,133,134,0,0,0,1
0,1,1,19,13.6,189,153,77,0,0,1
1,1,1,18,11.1,174,153,0,0,0,1
1,6,4,34,6.5,321,134,2108,0,16482,1
1,4,2,11,5.9,54,69,18,0,0,1
1,4,2,11,4.6,72,69,18,0,0,1
0,1,1,7,7.1,144,134,53,0,0,1
0,4,2,12,7.7,183,69,18,0,61,1
0,4,2,11,18.3,183,69,18,0,0,1
0,3,3,40,3.9,420,134,330,0,0,1
1,4,2,11,12.6,0,183,69,181,0,1
1,2,2,35,8.3,420,134,1625,0,0,1
1,4,2,11,4,77,69,18,0,0,1
0,3,3,18,10.7,420,134,0,0,0,1
0,4,1,49,2.4,50,134,62,0,0,1
0,0,0,2,297.6,0,0,0,0,0,1
1,4,2,12,6.1,91,69,18,0,34,1
1,1,1,7,4.8,179,134,53,0,0,1
0,4,2,12,13.8,183,69,18,0,64,1
0,4,2,12,2.9,183,69,18,0,62,1
