Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Make of file,Model of file,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE)
1,10,2,25,7.2,0,0,93.0,88.0,18.0,0,0
0,0,0,0,304.3,0,0,0.0,0.0,0.0,0,0
0,0,0,0,1019.8,0,0,0.0,0.0,0.0,0,0
0,0,0,0,20.1,0,0,0.0,0.0,0.0,0,0
0,0,0,0,65.5,0,0,0.0,0.0,0.0,0,0
0,0,0,0,208.4,0,0,0.0,0.0,0.0,0,0
0,0,0,0,2706.8,0,0,0.0,0.0,0.0,0,0
0,0,0,0,1618.7,0,0,0.0,0.0,0.0,0,0
0,0,0,0,1019.3,0,0,0.0,0.0,0.0,0,0
0,0,0,0,24.9,0,0,0.0,0.0,0.0,0,0
0,0,0,0,1195.2,0,0,0.0,0.0,0.0,0,0
0,0,0,0,1350.3,0,0,0.0,0.0,0.0,0,0
0,0,0,0,49.4,0,0,0.0,0.0,0.0,0,0
0,0,0,0,2247.2,0,0,0.0,0.0,0.0,0,0
0,0,0,0,28.3,0,0,0.0,0.0,0.0,0,0
