Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Make of file,Model of file,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE)
1,4,2,11,10.0,0,0,86.0,69.0,18.0,0.0,0.0
1,4,1,11,6.9,0,0,183.0,134.0,18.0,0.0,30.0
1,2,2,24,2.6,0,0,420.0,134.0,856.0,0.0,0.0
1,2,1,9,50.9,0,0,88.0,69.0,18.0,0.0,56.0
1,9,5,35,7.0,2,2,420.0,134.0,716.0,0.0,1358.0
1,4,1,12,15.5,0,0,89.0,134.0,2689.0,0.0,0.0
1,3,3,37,7.5,0,0,321.0,134.0,710.0,0.0,0.0
1,4,2,11,32.4,0,0,97.0,69.0,18.0,0.0,0.0
1,1,1,7,5.0,0,0,282.0,134.0,53.0,0.0,0.0
1,2,1,8,23.5,0,0,183.0,69.0,18.0,0.0,0.0
1,4,2,11,10.8,0,0,183.0,69.0,18.0,0.0,0.0
1,1,1,7,17.5,0,0,178.0,134.0,53.0,0.0,0.0
1,4,2,11,13.7,0,0,91.0,69.0,18.0,0.0,0.0
1,4,2,12,12.6,0,0,74.0,69.0,2931.0,0.0,0.0
1,4,1,10,10.8,0,0,61.0,134.0,62.0,0.0,0.0
1,4,1,11,7.8,0,0,183.0,134.0,18.0,0.0,30.0
1,9,5,35,7.0,2,2,420.0,134.0,716.0,0.0,1382.0
1,4,2,11,11.1,0,0,183.0,69.0,18.0,0.0,0.0
1,4,1,10,8.1,0,0,84.0,134.0,62.0,0.0,0.0
1,4,2,11,10.1,0,0,54.0,69.0,18.0,0.0,0.0
1,3,3,35,1.9,2,2,321.0,153.0,828.0,0.0,202.0
1,3,3,34,6.7,0,0,321.0,134.0,322.0,0.0,0.0
0,4,2,11,95.6,0,0,183.0,69.0,18.0,0.0,0.0
1,3,3,28,0.4,0,0,420.0,134.0,330.0,0.0,0.0
1,4,1,11,7.5,0,0,183.0,134.0,18.0,0.0,30.0
1,4,2,11,13.4,0,0,183.0,69.0,18.0,0.0,0.0
1,4,1,10,32.8,0,0,73.0,134.0,392.0,0.0,0.0
1,4,2,11,17.8,0,0,70.0,69.0,18.0,0.0,0.0
1,4,2,11,8.7,0,0,83.0,69.0,18.0,0.0,0.0
1,11,3,33,32.1,0,0,321.0,134.0,2354.0,0.0,0.0
0,4,2,12,9.9,0,0,58.0,69.0,18.0,0.0,547.0
1,4,2,12,10.7,0,0,183.0,69.0,18.0,0.0,61.0
1,2,1,8,18.9,0,0,183.0,134.0,18.0,0.0,0.0
1,4,2,11,15.2,0,0,82.0,69.0,18.0,0.0,0.0
0,4,2,12,1.1,0,0,183.0,69.0,18.0,0.0,61.0
1,4,2,11,15.3,0,0,79.0,69.0,18.0,0.0,0.0
1,10,2,25,6.1,0,0,70.0,88.0,18.0,0.0,0.0
1,4,2,11,28.1,0,0,183.0,69.0,18.0,0.0,0.0
1,4,1,11,4.6,0,0,183.0,134.0,18.0,0.0,30.0
1,1,1,7,6.6,1,1,420.0,134.0,216.0,0.0,0.0
1,5,3,20,4.9,0,0,321.0,134.0,560.0,0.0,0.0
1,2,2,58,14.1,0,0,420.0,134.0,858.0,0.0,0.0
1,4,2,11,11.6,1,1,183.0,69.0,181.0,0.0,0.0
1,12,4,44,1.1,0,0,321.0,134.0,334.0,0.0,0.0
1,1,1,8,6.5,0,0,420.0,134.0,18.0,0.0,14.0
0,4,2,12,10.8,0,0,183.0,69.0,18.0,0.0,61.0
1,4,2,11,21.4,0,0,183.0,69.0,18.0,0.0,0.0
1,5,3,22,6.0,0,0,321.0,134.0,18.0,0.0,4282.0
1,10,2,24,4.4,0,0,109.0,88.0,144.0,0.0,0.0
0,14,11,1266,1.5,0,0,7724.0,535.0,136113.0,3829.0,16146.0
1,4,2,12,10.1,0,0,183.0,69.0,18.0,0.0,61.0
