Is Benign(EOI)?,Number of DHT Markers,Number of DQT Markers,Total Number of Markers,Maximum size used in %,Make of file,Model of file,Max Marker Size for DHT(FFC4),Max Marker Size for DQT FFDB,Max Marker Size for APP1(FFE0),Max Marker Size for APP12(FFEF),Max Marker Size for COM(FFFE),Label
1,4,2,11,4.4,0,0,61,69,940,0,0,1
1,4,1,11,4.2,0,0,183,134,18,0,30,0
0,10,2,26,3.3,0,0,42,88,489,0,0,1
1,4,2,11,15,0,0,82,69,18,0,0,0
1,1,1,7,12.7,0,0,189,134,53,0,0,0
1,2,1,9,27.3,0,0,183,69,18,0,72,0
1,4,2,11,36,0,0,59,69,116,0,0,1
0,0,0,2,1063.4,0,0,0,0,0,0,0,1
1,2,2,25,3.8,0,0,420,134,606,0,0,0
0,4,2,11,6.9,0,0,66,69,68,0,0,1
1,5,1,16,78.9,0,0,82,82,18,0,60,0
1,5,1,16,75.6,0,0,82,82,18,0,60,0
1,4,1,10,5.1,0,0,65,134,1551,0,0,1
1,4,2,12,5.2,1,1,0,183,69,3022,0,1
1,11,2,26,9.5,0,0,52,88,718,0,0,1
1,3,3,35,4.4,2,2,321,134,1694,0,0,0
1,4,2,12,19.1,0,0,183,69,18,0,61,1
1,4,1,12,13.9,0,0,96,134,3041,0,0,1
1,4,2,11,12.3,0,0,68,69,18,0,0,0
1,3,3,38,5.3,0,0,420,134,330,0,0,0
1,4,2,11,12.5,0,0,183,69,18,0,0,0
1,4,2,11,8.6,0,0,87,69,18,0,0,0
1,10,2,25,6.6,0,0,64,88,18,0,0,0
0,3,3,39,2.4,0,0,420,134,322,0,0,1
1,5,1,16,51.5,0,0,82,82,18,0,60,0
1,4,2,11,13.9,0,0,79,69,18,0,0,0
1,4,1,11,3.7,0,0,183,134,18,0,30,0
1,9,5,30,13.9,1,1,0,321,134,1038,0,1
0,3,3,41,5.1,0,0,420,134,438,0,0,1
1,5,1,16,83,0,0,76,82,18,0,60,0
1,3,3,34,5.5,0,0,420,134,330,0,0,1
1,4,2,11,14,0,0,83,69,18,0,0,0
0,1,1,6,2,0,0,177,134,0,0,0,1
1,4,2,11,11.4,0,0,183,69,18,0,0,0
1,4,1,11,7.4,0,0,183,134,18,0,30,0
1,1,1,7,6.2,0,0,184,134,195,0,0,0
1,2,1,8,22.4,0,0,183,134,18,0,0,0
1,4,2,12,25.7,0,0,64,69,2931,0,0,0
1,4,2,11,17.7,0,0,183,69,18,0,0,0
1,4,2,11,18,0,0,86,69,18,0,0,0
1,5,3,24,28.5,0,0,321,134,48,0,190,0
1,4,1,11,4.8,0,0,183,134,18,0,30,0
1,1,1,24,7.4,0,0,227,134,1098,0,56,0
1,4,2,11,10.6,0,0,55,69,18,0,0,0
1,1,1,7,3.3,0,0,208,134,53,0,0,0
0,4,2,12,26.9,0,0,183,69,18,0,64,1
1,4,1,10,32.8,0,0,73,134,392,0,0,1
1,4,2,11,6.4,0,0,183,69,18,0,0,1
1,1,1,7,16.3,0,0,208,134,53,0,0,0
1,4,2,12,20.7,0,0,183,69,18,0,61,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,4,54,0.8,2,2,420,134,708,0,0,1
1,1,1,29,7,0,0,420,134,0,0,0,1
1,4,2,11,11.7,0,0,183,69,18,0,0,0
1,4,2,12,32.1,0,0,183,69,18,0,61,1
0,1,1,19,6.4,0,0,268,153,77,0,0,1
1,4,1,10,14.2,0,0,72,134,112,0,0,1
1,4,2,13,2,0,0,183,69,31,0,22,1
1,4,2,11,10.2,0,0,183,69,18,0,0,0
1,3,3,30,1.3,0,0,420,134,330,0,0,1
1,10,2,25,8.7,0,0,59,88,18,0,0,1
0,4,2,12,1,0,0,183,69,18,0,61,1
1,4,2,11,9.5,0,0,183,69,18,0,0,0
1,4,2,11,7.5,0,0,95,69,18,0,0,0
1,10,2,26,32.5,0,0,73,88,2363,0,0,1
0,3,3,33,6.5,2,2,321,134,906,0,0,1
1,4,2,11,15.2,0,0,82,69,18,0,0,0
1,4,2,11,28.1,0,0,183,69,18,0,0,0
1,4,2,11,13.6,0,0,60,69,18,0,0,0
0,4,2,12,13,0,0,183,69,18,0,61,1
1,1,1,7,10.1,0,0,420,134,53,0,0,0
1,3,3,88,40.7,2,2,321,134,1730,0,0,0
1,10,2,25,3.8,0,0,69,88,18,0,0,1
0,4,4,38,6.6,2,2,183,69,6916,17,43,1
1,4,2,11,11.9,0,0,54,69,18,0,0,0
0,4,2,12,5.7,0,0,183,69,18,0,61,1
